reconstructed,n_fragments,smiles,synth_own_score,real_ra_score,lambda,pocket_data_id,pocket_target,n_attempted,n_reconstructed,n_single_fragment
True,1.0,CN1C=NC2=C(C1)OC(C1CC(=O)NCC1=O)C2CCC(O)C(=O)O,0.6377432346343994,0.041677337139844894,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,CC1CC(O)C(O)C(C2(C=C3NCC(F)O3)NC3=CC(=O)N(N)NC(=O)C3C2O)C1C,0.2716810703277588,0.004333431366831064,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,CCCCC(C(=O)O)C1CC(C(F)(F)F)CC1OC1CC(O)CCC1C(N)=O,0.622654378414154,0.22086994349956512,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,C=NC(C(=O)O)C1C=CC(C(CC(F)F)CC(O)CO)C=C1F,0.8075429201126099,0.03773685544729233,0.03,0,BSD_ASPTE_1_130_0,30,29,26
False,,,,,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,2.0,CC(=O)CC1CC(COCCCO)NC1C=O.O=C1OCC(O)C(O)C1NO,,,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,CC(CCCC(C1C=CC(O)=C(O)C=C1)C1C=CC(=O)C2=C1CON2C)C(N)=O,0.5922808051109314,0.02215132862329483,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,CC(O)C(CO)C(=O)C1CC=C(C(=CC2NC(N(C)C)CC(O)C2O)CCCCN)N1,0.5655576586723328,0.022932425141334534,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,O=C(N=C1CC=CCC1)NCC1=C(NC(CO)C(F)C(O)C(=O)O)NC(C(F)C(F)F)C1,0.3948541581630707,0.012653441168367863,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,CC1CC(C(C)(C)O)CCC1NC(CC1CCCCC1)c1cccc(O)c1,0.7160692811012268,0.728503942489624,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,NC(C=O)CC(=O)N=C1CC(CN2CC(N)CCCC2=O)=C2CCC(F)OC12,0.432500422000885,0.06335356831550598,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,O=C(O)CCC1CC(C2CNN(O)C2)CC(N2C=CC(O)C(O)C2=O)O1,0.7369932532310486,0.059979937970638275,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,O=C1NCNCC=C1NC(CCCCO)C(=O)O,0.9112659096717834,0.9299106001853943,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,NC(=O)CC1c2ccccc2C(O)C2CC(C(O)C(=O)O)C(O)CC12,0.5991600751876831,0.08298534899950027,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,2.0,CC1CCCOCC1.COCC1=CN=CN2CN(OCC(O)C(O)O)C(=O)C12,,,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,NCC(O)(N=CCCC(=O)O)C1=CC2C3=C(CCC=C3)ONC2=C(C2CCC(NC(O)O)C2=O)C1,0.4035680294036865,0.015638399869203568,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,2.0,CC(=O)N1CCCC(C2=NONC2(C)C(=O)O)C1.NC(=O)O[SH](O)O,,,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,C=Cc1cc(C(=O)O)cc(N2CC(O)CC2=O)c1,0.8992514610290527,0.6339531540870667,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,O=C(CCO)OC1CC(n2cnc(=O)[nH]c2=O)CN2C(=O)COCC12,0.631354033946991,0.4377628564834595,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,NC(O)(F)C1CN(CC(CCC(=O)O)C(O)C(=O)O)C=NCC1F,0.6439301371574402,0.26743465662002563,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,CCOC(NCN)C(=C=C(O)C(C)C(=O)O)N=CCCN,0.6189671754837036,0.07049153000116348,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,OCC(O)C(O)C1CC2=CN(O)C=NC2=NC2CC(O)CC21,0.7700811624526978,0.25828275084495544,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,Cc1cc(CCN(C(=O)CC(=S)N2CCC(O)C(O)C2=O)C(=O)C(=O)OC(CO)CCN)ccn1,0.42847907543182373,0.13970379531383514,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,O=C1NC(C(NS(O)(O)O)C(=O)O)CC2CC(O)C(O)=CC12,0.6585816740989685,0.14575545489788055,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,NCCC(O)C(CO)OC(=O)C(CC1COCCO1)N=C1CCCN1,0.6901580095291138,0.2535942792892456,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,CC(O)CCC1=NOC(c2cc[nH]c(=O)n2)C=C1C(=O)O,0.754507303237915,0.27445894479751587,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,CCC(CO)OC1=NC2C(=O)NC(CC)(CO)CC2N=C1CC1=C=CCC=C=C(C(=O)O)N1,0.4751703441143036,0.009455496445298195,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,CC(O)C1C(=O)C2(CC1O)NC1C=NC(=N)C=C1[PH](O)(NC1COOC1)N2,0.28225111961364746,0.0224621519446373,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,O=C(NCC1C(C(O)(O)c2ccccc2)NN1c1ccc(O)cc1)C(O)C(O)C(O)O,0.4348772466182709,0.11741191893815994,0.03,0,BSD_ASPTE_1_130_0,30,29,26
True,1.0,N=c1nc2n(C(CO)C(O)C(=O)O)cc(C(=O)N3CC(O)CCC3=O)cc-2[nH]1,0.4181895852088928,0.10797467827796936,0.03,0,BSD_ASPTE_1_130_0,30,29,26
