reconstructed,n_fragments,smiles,lambda,pocket_data_id,pocket_target,n_attempted,n_reconstructed,n_single_fragment
True,7.0,C.C.C.CCC(C)C.CCCCC(C)C(=O)C=CCCCCO.N.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,8.0,C#C.C#C.C#CC(CC(C)CCC)OCCC(O)CC(C)ON.NCCF.O.O.O.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,5.0,C.C.C.CCC(CC=CC(=O)C1CCNC(C)C1)CCC(O)=C=COC.N=O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
False,,,3.0,0,BSD_ASPTE_1_130_0,30,28,0
False,,,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,8.0,C.C.CO.O.O.O.O.O=CCCC(O)CCC(O)CNCCCCCCCO,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,9.0,C.C.C.C.C.CC(OCC1CCC1)C1C=C2CNC(=N)C2C(=O)N1.CON.O.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,7.0,CC=CCC(=C=CCCN)C=C=C(O)C(CC)CCN.CCC=N.CCO.O.O.O.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,9.0,C.C.C.C.C#N.C=C(C)C.C=CC=N.F.O=C(C=C(O)COCC=CNCCO)OCO,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,4.0,C.C.CCCC1CC=CCC1C=O.N=C1CCC(OC(N)CCC(=O)O)N1,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,4.0,C.CCC.COC(C=CO)C=CC(NCNC(C)=C=O)OC1CNC(=N)N1.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,3.0,CC(CC=O)CC(CCC1CCCC(O)C1O)CC(CO)CCN.O.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,6.0,C.C=CNCCCCCCCC=C=O.F.N.O.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,4.0,C.CCCOCCC(CC(C)C(=O)O)CC(SCO)C(=O)N=O.O.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,10.0,C.C.C.C.C.C=CCCSC1C(OC=O)OC2N(O)C(=CC)NN12.N.N.O.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,15.0,C.C.C.C#C.C#N.C=CO.CCC=CNC(C=CCC(C)O)CC=CNC.N.N.O.O.O.O.O.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,10.0,C.C.C.C.C=CCCCCCCC=O.CCC(C)N=CO.O.O.O.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,4.0,C=O.CCCCCC(C=NCO)CC(=N)Cl.N.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,6.0,C.C.C.CC(=O)CC=CCCCCCC(N)=C=O.O.O=CCCCO,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,4.0,C.CC(CC=O)OCCC#N.CC=CCC(=O)O.CCC(=O)OC,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,6.0,C.C.CC(C=NC(C)C=N)CCC(O)CC(=O)O.O.O.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,4.0,C.CC(=CCCCC(C=O)CC(=O)O)C(=O)F.COCO.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,12.0,C.C.C.C#C.CC(=O)CCCCCNC(C)=O.CCC(O)C(C)(CN)CO.CCO.O.O.O.O.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,6.0,C.C=O.CNC(C=CC(O)C1CC(O)C1O)C(=O)O.F.O.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,4.0,C#C.C=CCC(N)C(CCOC1CCCCC1)N=CCCOC.N.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,6.0,C=CC(C=CC=N)OCCC(C)CO.CCO.F.O.O.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,10.0,C.C.C.C.C=CC(=C=C(N)C=C=CC(N)=O)OCOCOC.CNCC(=O)OC.N.O.O.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,7.0,C.C.C.C=CC(O)CCNOC(C=C)NNC1=CCCCCC1.CO.O.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,16.0,C.C.C.C=CC(CC)CF.CC.CCC.CCCNC=O.N.N.N.O.O.O.O.O.O=O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
True,15.0,C.C.C.C.C.C#N.C=CCC(C)CCOCCCC.C=O.F.F.N.N.O.O.O,3.0,0,BSD_ASPTE_1_130_0,30,28,0
