reconstructed,n_fragments,smiles,lambda,pocket_data_id,pocket_target,n_attempted,n_reconstructed,n_single_fragment
True,19.0,C.C.C.C.C.C.C.C.C.C.C#CCC(=C)CC.N.N.N.N.O.O.O.P,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,21.0,C.C.C.C.C.C.C.C.C.C#CCCC(=O)C=C.CC(C)C.F.N.N.O.O.O.O.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,16.0,C.C.C.C.C.C.C.CCC(CC)C(=O)CCOC.Cl.F.N.O.O.O.O.O=CF,30.0,0,BSD_ASPTE_1_130_0,30,26,0
False,,,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,55.0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C#C.C#C.C=CCN.C=O.CO.CO.CO.N.N.N.N.NO.O.O.O.O.O.O.O.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,23.0,C.C.C.C.C.C.C.C.C.C.C#N.C=CCCC.Cl.Cl.N.N.O.O.O.O.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
False,,,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,28.0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.CCCO.F.N.N.N.N.O.O.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,21.0,C.C.C.C.C.C.C.C.C#C.C#C.CC.CC(C)(C)CCOO.Cl.Cl.N.N.N.N=O.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,18.0,C.C.C.C.C.C.C.C.C.C#C.C=CCCOCCCC.N.N.O.O.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,19.0,C.C.C.C.C.C.C.C.C.C.C.C.CC=O.CCOC(=O)NC=O.N.N.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,14.0,C.C.C.C.C.C=CC=N.CC(C)CCC1OCC1O.N.N.O.O.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,8.0,C.C.C.C.C=O.CCCS(C)(N)C(C)CN.F.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,18.0,C.C.C.C.C.C.C.CCCCCCC=O.N.N.O.O.O.O.O.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,19.0,C.C.C.C.C.C.C.C.C#N.CNCC(C)OCOO.Cl.N.N.N.N.O.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,27.0,C.C.C.C.C.C.C.C.C.C.C.C.C#C.C#C.CC.CCC(C)C=N.F.N.N.O.O.O.O.O.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,16.0,C.C.C.C.C.C#C.CCC.CCC(=O)C=N.N.N=O.O.O.O.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,7.0,C.C=COOCN.CCO.COC(C)O.N.N.N,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,13.0,C.C.C.C.C.C.C#C.CCCOO.NCNCCCNN.O.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
False,,,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,13.0,C.C.C.C.C.CC=CCC.CCC.N.N.NCN.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,15.0,C.C.C.C.C.C.C.C.C=C(CN)C(C)N.CO.N.O.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,27.0,C.C.C.C.C.C.C.C.C.C.C#C.C=CC(C)C.CCC.CO.N.N.N.O.O.O.O.O.O.O.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,13.0,C.C.C.C.C#C.C=C(CN=N)COCC.Cl.Cl.N.N.N.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,20.0,C.C.C.C.C.C.C.C#N.C=CCC.CC.Cl.N.N.O.O.O.O.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,13.0,C.C.C.C.C.C=CCCC(C)O.Cl.F.O.O.O.O.O=CO,30.0,0,BSD_ASPTE_1_130_0,30,26,0
False,,,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,17.0,C.C.C.C.C.C.C.C.C#C.C#CC(C=C)CC.C=NNC.N.O.O.O.O.O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,23.0,C.C.C.C.C.C.C.C.C.C.C.C.C#C.C#C.N.N#N.NOCNO.O.O.O.O.O.OF,30.0,0,BSD_ASPTE_1_130_0,30,26,0
True,22.0,C.C.C.C.C.C.C.C.C.C.C.C.C.C=CCNN=C.F.O.O.O.O.O.O.O=O,30.0,0,BSD_ASPTE_1_130_0,30,26,0
