reconstructed,n_fragments,smiles,synth_own_score,real_ra_score,lambda,pocket_data_id,pocket_target,n_attempted,n_reconstructed,n_single_fragment
True,1,CN1C=NC2=C(C1)OC(C1CC(=O)NCC1=O)C2CCC(O)C(=O)O,0.5838358998298645,0.041677337139844894,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,Cc1c[nH]c(=NC2(C3C(C)C(C)CC(O)C3O)Nc3cc(O)c(=N)[nH]c(=O)c3C2O)[nH]1,0.20874835550785065,0.010195874609053135,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,NC(=O)C1CCC(O)CC1OC1=C(N2CC(O)OCC2=O)CC(C(F)(F)F)C1,0.5297878980636597,0.10675264149904251,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,CNC(C(=O)O)C1C=CC(C(CC(F)F)CC(O)CO)C=C1F,0.7988370060920715,0.07192030549049377,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,2,C=C(C)C(CCCC(=O)CN(CC)CO)NC(=O)C(C(F)=CNC=CC1C(O)C(O)C1(O)C(C)O)C(F)(F)F.CCC1CCC(OC2(CO)OC(=O)C3=C2C(C)CO3)C(C)C(C)(O)C1C,,,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,2,CC(=O)CC1CC(COCCCO)NC1CO.CC(O)C(O)C(NO)C(=O)O,,,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,C=C(C=COC(C1=CC(=O)CC2C1CON2C)C1C=CC(O)=C(O)C=C1)C(N)=O,0.5474089980125427,0.014097771607339382,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,CC(=O)C(CO)C(O)C1CC=C(C(=CC2NC(N(C)C)CC(O)C2O)CCCCN)N1,0.5274243354797363,0.0045559038408100605,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,O=C(NCC1=C(NC(=O)C2CC(O)C(O)C2F)NC(C(F)C(F)F)C1)NC1=CCC=CC1,0.27781951427459717,0.6511391997337341,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,CC1CC(C)(C(=O)O)CCC1NC(CC1CCCCC1)C1C=CCC(O)=C1,0.7105598449707031,0.10267303884029388,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,NC(C=O)CC(=O)NC(=CCCCC(F)F)CCCN1CC(N)CCCC1=O,0.5453384518623352,0.4758113920688629,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,2,O.O=C(O)CCC1CC(C2CNNC2)CC(N2C=CC(O)C(O)C2=O)O1,,,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,CC(=O)OCC(NC1=CCNCNC1=O)C(=O)O,0.8611651659011841,0.7583709359169006,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,NC(=O)CC1C2C=CC=CC2=C(O)C2CC(C(O)C(=O)O)C(=O)CC21,0.6070677638053894,0.029443660750985146,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,2,CCOC1C=C(C2=CN(C)C(Cl)=CC2)C=NC1=NC(=O)NCC(C)(O)C=O.O,,,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,C=C(C)CC=CNC(CC1=C(C2CCC(NC(=O)O)C2=O)C2=C(C1)C1C=CCC=C1ON2)C(=O)O,0.3370407223701477,0.14169810712337494,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,2,CC(=O)C1CCCCN(C2(C)C(=O)NNC2=O)C1.NC(=O)CC(=O)O,,,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,CCCC1=CC(OC)N=C(N2CC(O)NC2=O)C1,0.8145305514335632,0.31244030594825745,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,O=C1N=CC(C2CC(OC(O)CCO)C3CCCC(=O)N3C2)C(=O)N1,0.6373449563980103,0.3049555718898773,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,NC(O)(F)C1=CN(CC(CCC(=O)O)C(O)C(=O)O)C=NCC1F,0.6964874863624573,0.06999526917934418,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,CCC(CC(=O)O)CC(CC=CN)CC(O)C(C)C(=O)O,0.7962773442268372,0.04896680265665054,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,OCC(O)C(O)C1CC2=CN(O)C=NC2=NC2CC(O)CC21,0.8282539248466492,0.25828275084495544,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,CCNCC(C=O)=Cc1cc(CN2CCC(O)C(O)C2=O)nc(=O)c(C(=O)OC(CO)CCO)c1,0.6648107171058655,0.07345432788133621,0.1,0,BSD_ASPTE_1_130_0,30,30,23
True,1,O=C1NC(C(NS(O)(O)O)C(=O)O)CC2CC(O)C(O)=CC12,0.6104371547698975,0.14575545489788055,0.1,0,BSD_ASPTE_1_130_0,30,30,23
