file,smiles,heavy_atoms,qed,sa,ra_score,pb_valid,predicted_affinity_score,vina_dock,ligand_efficiency
000.sdf,CC1=CC2C=C([C@@H](C)C(=O)O)C[C@@H](C(=O)NCC3CCCC3)C2=CC1,25,0.7451737407787684,0.63,0.31216880679130554,True,5.977642059326172,-9.013,-0.36052
004.sdf,C[C@H]1C[C@H](Oc2cc3cnccc3cc2Cl)C1.C[PH](O)(O)O,22,0.728225971619703,0.76,0.9551151394844055,False,5.740611553192139,-7.596,-0.3452727272727273
007.sdf,Cc1nc([C@H](CCCC(=O)O)[C@@H]2[C@@H](O)CC[C@@]2(C)[C@H]2NCN(C)C2=O)c2ccccc2n1,32,0.6055494460714699,0.6,0.02175864949822426,True,6.103085517883301,-8.806,-0.2751875
008.sdf,CC[C@@H](C)CC[C@@H]1N[C@H](CC(=O)O)[C@@H]2C1=CNC(=N)[C@H]2N,21,0.502349492517088,0.54,0.12278160452842712,True,5.887182712554932,-8.477,-0.4036666666666667
009.sdf,CCCC[C@@H](CCN1C=C(N)C(N)C=N1)CCC(C)(O)O,21,0.476586973636955,0.59,0.8014100790023804,False,5.869584560394287,-6.954,-0.3311428571428571
003.sdf,CC(=O)N[C@@H](C[C@@H](O)C(=O)O)Sc1cc([C@H]2CCCNC2=O)ccc1F,26,0.41485780263897953,0.66,0.18299175798892975,True,5.931922435760498,-9.207,-0.35411538461538467
002.sdf,N=C1C(N2OCC(O)(O)NC2=O)C2C(=CN1O)O[C@@H]1C(F)=Nc3ccccc3N21,29,0.3990899519993703,0.52,0.013889617286622524,True,5.7728705406188965,-11.295,-0.38948275862068965
006.sdf,CC(C)O[C@@H]1C(=O)NN[C@@H](Cc2c(N[S@SP1](O)(O)C3=CCCO3)cc(O)c(O)c2O)[C@@H]1O,31,0.20629742266287154,0.55,0.016492420807480812,False,5.814697265625,-8.595,-0.27725806451612905
001.sdf,CC(=O)C1=N[C@H]([C@@](O)(NCc2ccc(O)c(C(=O)O)c2N)C(=O)O)OC2=C1CCN1CN[C@@H]1C2,34,0.1902323110843323,0.55,0.21610099077224731,False,5.9769086837768555,-8.387,-0.2466764705882353
005.sdf,CN1CC2=C(C=C[C@H]3C4=CCC(N(N)O)=C(O)C4[C@@H](CO[PH](O)(O)O)C3=C2)O1,28,0.16669345728323767,0.42,0.05309935286641121,True,5.774245262145996,-9.566,-0.3416428571428572
