reconstructed,n_fragments,smiles,synth_own_score,real_ra_score,lambda,pocket_data_id,pocket_target,n_attempted,n_reconstructed,n_single_fragment
True,3.0,CC1C2=NCN(C)C=C2OC1C1=CC(=O)C=CC1O.O.OCCCO,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,4.0,C.C=CCC(=C)C1C=C2C(=O)NC(=N)C(O)=CC2NC1C1CC(O)C(CC)C1C.O.O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,3.0,F.NC(=O)C1(NOC2=C(N3CCCC(O)C3)CC(C(F)F)C2)CCC(O)C1.O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,1.0,CNC(C(=O)O)C1C=CC(C(CC(N)=O)CC(O)CO)=CC1F,0.7816962599754333,0.06345775723457336,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,8.0,CCC1CC(C(=O)O)C1.CCCOC1=CC2(C=O)OC3C(CCC45CCC4C4CC35CO4)C2C1=O.CCN(C=O)CC(=O)C(O)CC(C)CCC(O)C(F)(CC)C(O)F.CN.F.O.O.O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,3.0,CC=C(N)C(=O)OC(C)C(O)C1NC(COCCCO)CC1CC(C)=O.O.O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,1.0,N=C1NCC2=CC(C(Nc3ccc(O)cc3)C3=CCC(O)=C(O)C=C3)C=C(O)C12,0.4999035894870758,0.00783147569745779,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,2.0,C=C(CC(=C(C)C1NC2=C(OCC2)C(O)C1O)C1CNC(C)C1)C(=O)NC(C)=O.C=O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,2.0,C=CCC(=C)CNC(=O)Nc1ccc(CC(F)F)[nH]c1=NC(CO)CC(O)C(O)CF.F,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,1.0,CC1CNC2=C1CC(c1cccc(O)c1)N2CC1CC(O)(C(C)O)CC1O,0.5260927677154541,0.12952767312526703,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,2.0,NC1CCCC(=O)N(CC=CC(=CCCCCF)C(CO)CC(O)C=O)C1.O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,3.0,O.O.O=C=NCC=C1CC(CC=O)OC(CC2CCC(O)C(O)C2O)C1,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,2.0,CCNCNC(=S)CNC(=C=O)CCCCO.O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,2.0,NC(=O)CC1C2C=CC=CC2C(O)C2C=C(C(O)C=O)C(O)CC21.O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
False,,,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,7.0,C.C=O.CCC(O)C(F)C1C=C2C=CCC=CC2=CC1CC1CC2CC(O)NC2C1=O.N.N.O.O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,2.0,C.CC(=O)NC(=O)NC1CC(C(O)C(CO)OCO)CC=C1C(C)=O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,1.0,NCCCC=C(N=CC(=O)O)NC(=O)NC(=O)O,0.6523178219795227,0.15969857573509216,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,3.0,C.C=C(OC(CCN1CC(O)NC1=O)C(C)OC(=O)CC)C(=O)O.O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,4.0,N=CN(CC(=C=CO)CCC(=O)O)CC(C(N)F)C(F)F.O.O.O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,2.0,CCC(OC(CC(O)C(C)C=O)N=CCCN)C(=O)O.O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,2.0,CC(=O)OC(=CC(O)=C=CO)C1CC2=CN(O)CN=C2N1.O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,3.0,CC.CCCN(C)C(CC(=O)N(CCC1=NCNC1)C(=O)C(O)C(O)(C=O)CCN)OCCO.O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,3.0,CC(NS(O)(O)O)C1CC2CC(O)C(O)CC2C(=O)N1.O.O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,1.0,N=CC1CNOC(C(CC2NCCCO2)C2CC(F)CN2)OCC1=O,0.5591378211975098,0.029093673452734947,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,2.0,C=C(O)CCC(=CC(O)C1=CCOCN1)C(=C)C(=O)O.O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,4.0,C.C.CC.CCC(COC1=NC2C(N=C1OCC(C)O)C(=O)C1(O)CCCCC21)NC(N)=O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,1.0,C=C(O)C1C(=O)OC(NS(O)(NC2COOC2)C2C=CNC(=N)C2)CC1O,0.3267803192138672,0.005588441155850887,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,8.0,C.C.CCC=CC=CCO.NCNCC1CCCC1O.Nc1cccc(O)c1.O.O.O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
True,6.0,C.C=Nc1nc(=N)[nH]nc1CCCCOCC(O)F.COC(=O)CO.F.O.O,,,0.3,0,BSD_ASPTE_1_130_0,30,29,6
