reconstructed,n_fragments,smiles,lambda,pocket_data_id,pocket_target,n_attempted,n_reconstructed,n_single_fragment
True,11,C.C.C#CC.C#CO.CC.CCCCCN.N.O.O.O.O=CCCO,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,18,C.C.C.C.C.C.C.C.CCC.CCCOC.CN.N.N=CC=CCON.O.O.O.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,16,C.C.C.C.C.C.C.C.C.C#CC.C#CC.C=O.CC1CCCO1.N=CO.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,9,C.C.C=CNC(C=O)COC.CCCCC.COO.F.N.N.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,45,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C#C.C#N.C=O.C=O.CC.CC.CC.CC.CC(N)O.CCCCC(N)CC.N.N.N.N.O.O.O.O.O.O.O.O.O=C=O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,16,C.C.C.C.C=CCCC.CCCNCC.N.O.O.O.O.O.O.O.O.OCCO,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,16,C.C.C.C.C.C.C.C.C.C.C.C=CCC(=N)NC#N.CC#N.CCCCO.N.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,17,C.C.C.C.C.C.C.C.C=CC(C)C(C)[SH2]CN(C)CC.CC.CC=O.N.N.O.O.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,17,C.C.C.C.C.C.C.C.C.C.C.C.CC(O)C(C)CO.CNCC1C=CNCNC1.N.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,9,C.C.C.C.C#CC.CC(CCN)NCN.CCC1CCCCCCC1.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,13,C.C.C.C.C.C#C.C#N.C=CC(O)(O)N(C)O.CC.COOOC=O.N.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,10,C.C.C.C.C.C=COC(=C=O)CC=C=CCCC(=N)N.COO.O.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,5,C.C#C.C#CC.CCOCN.NC1CCCCN1,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,8,C.F.N.NCCCCC=C=CCC=O.O.O.O.O=C1CCOC(=O)C1,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,14,C.C.C.C.C#N.CCCCC=O.CCNNC(C)CC.CO.N.O.O.O.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,15,C.C.C.C#C.C#C.C=C(CO)CCC.C=O.CC1CC(N)C(O)C1C.N.N.N=C(F)F.O.O.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,12,C.C.C.C.C.CCCO.CCOC.N.O.O.O=C1CCC(=O)N1.O=O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,5,C=O.Cl.N.N=CCCCC[SH2]CC(CN)CO.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,9,C.C.C#C.C#C.CCC(O)CCC=O.CCCCCO.CCO.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,10,C.C.C.C.C.CCCCCCO.NCC1CNC(=C=O)C1.O.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,9,C.C.C.C=C(N)CC.CC(N)CC(C)CO.Cl.O.O.O=O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,10,C.C.CC=CC(C)COCC(C=N)C=N.Cl.N.O.O.O.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,23,C.C.C.C.C.C.C.C.C.C.C.C.C.C=CC(O)COCCCC.CCNO.N.N.O.O.O.O.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,9,C.C.C.CCC(O)C(O)CC=O.CCCC=O.F.N=O.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,11,C.C.CC=O.CCC(N)CCN.F.N.N.O.O.O.SOC1CCCO1,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,10,C.C.C.C.C=C(CS)C(C)CO.C=O.CCOO.O.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,23,C.C.C.C.C.C.C.C.C.C.C.C.C#C.C#CCCCCC.CO.F.N.O.O.O.O.O=CO.S,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,9,C.C.C.C=NOCCCCC(C=C=CNCCC)CN.CCN.O.O.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,22,C.C.C.C.C.C.C.C.C.C.C#C.CC(C)(C)CS.CCN.N.N.N=O.O.O.O.O.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
True,19,C.C.C.C.C.C.C.C#C.C#C.C=O.CC.CCCOO.CF.F.F.N.O.O.O,10.0,0,BSD_ASPTE_1_130_0,30,30,0
